"","stationcode","objectid","iaas_rowid","aarowid","cramversion","projectname","indexscore","bioticstructure","bufferandlandscapecontext","hydrology","physicalstructure","visitdate","aaname","projectsiteid","wetlandclass","wetlandsubclass","lastupdatedate","record_publish","sampledate","masterid","latitude","longitude","huc","county","smcshed"
"1","402M00002",131,131,4388,"6.1","SMC/VCWPD",65,55.56,93.29,75,37.5,2015-08-13,"SMC2_00002","402M00002","riverine","non-confined",NA,"true",2015-08-13,"402M00002",34.31063,-119.29916,402,"Ventura","Ventura"
"2","402M00005",102,102,4441,"6.1","SMC/VCWPD",89,77.78,100,91.67,87.5,2015-06-11,"SMC2_00005","402M00005","riverine","non-confined",NA,"true",2015-06-11,"402M00005",34.51364,-119.40097,402,"Ventura","Ventura"
"3","402M00009",123,123,4396,"6.1","SMC/VCWPD",95,88.89,100,91.67,100,2015-06-29,"SMC2_00009","402M00009","riverine","non-confined",NA,"true",2015-06-29,"402M00009",34.41824,-119.37505,402,"Ventura","Ventura"
"4","402M00015",583,1292,5410,"6.1","SMC/VCWPD",76,80.56,86.42,75,62.5,2016-06-06,"402M00015","402M00015","riverine","non-confined",NA,"true",2016-06-06,"402M00015",34.47484,-119.29151,402,"Ventura","Ventura"
"5","402M00029",584,1293,5411,"6.1","SMC/VCWPD",67,61.11,82.92,75,50,2016-06-06,"402M00029","402M00029","riverine","non-confined",NA,"true",2016-06-06,"402M00029",34.35798,-119.31172,402,"Ventura","Ventura"
"6","402M00030",412,1544,6133,"6.1","SMC/VCWPD",72,47.22,100,91.67,50,2017-04-19,"402M00030","402M00030","riverine","non-confined",NA,"true",2017-04-19,"402M00030",34.43881,-119.29959,402,"Ventura","Ventura"
"7","402M00042",411,1543,6127,"6.1","SMC/VCWPD",70,52.78,90.29,75,62.5,2017-04-19,"402M00042","402M00042","riverine","non-confined",NA,"true",2017-04-19,"402M00042",34.46039,-119.28891,402,"Ventura","Ventura"
"8","402M00043",573,1282,5400,"6.1","SMC/VCWPD",79,75,90.29,75,75,2016-06-22,"402M00043","402M00043","riverine","non-confined",NA,"true",2016-06-22,"402M00043",34.50161,-119.34749,402,"Ventura","Ventura"
"9","402M00046",405,1537,6125,"6.1","SMC/VCWPD",71,36.11,93.29,91.67,62.5,2017-04-26,"402M00046","402M00046","riverine","non-confined",NA,"true",2017-04-26,"402M00046",34.42402,-119.30011,402,"Ventura","Ventura"
"10","402M00058",1844,1844,7243,"6.1","SMC/VCWPD",67,55.56,90.29,83.33,37.5,2019-10-06,"402M00058",NA,"riverine","non-confined",1900-01-18,"true",2019-10-06,"402M00058",34.44552,-119.29586,402,"Ventura","Ventura"
"11","402M00066",1648,1648,6666,"6.1","SMC/VCWPD",84,72.22,93.29,83.33,87.5,2018-01-07,"402M00066","SMC","riverine","non-confined",1900-01-18,"true",2018-01-07,"402M00066",34.29325,-119.30742,402,"Ventura","Ventura"
"12","402M00082",1646,1646,6657,"6.1","SMC/VCWPD",69,69.44,79.75,75,50,2018-01-07,"402M00082","SMC","riverine","non-confined",1900-01-18,"true",2018-01-07,"402M00082",34.29004,-119.30801,402,"Ventura","Ventura"
"13","402M00110",1845,1845,7244,"6.1","SMC/VCWPD",70,44.44,93.29,91.67,50,2019-10-06,"402M00110",NA,"riverine","non-confined",1900-01-18,"true",2019-10-06,"402M00110",34.42735,-119.30364,402,"Ventura","Ventura"
"14","402M00114",1659,1659,6682,"6.1","SMC/VCWPD",90,77.78,93.29,100,87.5,2018-01-06,"402M00114","SMC","riverine","non-confined",1900-01-18,"true",2018-01-06,"402M00114",34.41665,-119.37011,402,"Ventura","Ventura"
"15","402M00127",1817,1817,7175,"6.1","SMC/VCWPD",68,61.11,90.29,58.33,62.5,2019-10-06,"402M00127",NA,"riverine","non-confined",1900-01-18,"true",2019-10-06,"402M00127",34.42503,-119.26342,402,"Ventura","Ventura"
"16","402MTCUNF",1216,639,2148,"6","PSA_2012",78,61,92,83,75,2012-06-27,"Upper NF Matilija Creek",NA,"riverine","non-confined",NA,"true",2012-06-27,"402MTCUNF",34.5175,-119.3792,402,"Ventura","Ventura"
"17","402PS0048",637,1172,677,"5.0.1","PSA_2008",86,53,100,92,100,2008-06-05,"Matilija Creek",NA,"riverine","confined",NA,"true",2008-06-05,"402PS0048",34.53077,-119.40085,402,"Ventura","Ventura"
"18","402S01567",344,1458,5829,"6.1","SWB_RCMP_2017",88,80.56,93.29,91.67,87.5,2017-05-24,"Upper North Fork Matilija","RCMP","riverine","confined",NA,"true",2017-05-24,"SMC01567",34.5096,-119.3837,402,"Ventura","Ventura"
"19","402SNPMCR",1512,296,3631,"6.1","SMC/VCWPD",79,75,90.29,75,75,2014-05-28,"402SNPMCR","SMC","riverine","non-confined",NA,"true",2014-05-28,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"20","402SNPMCR",1551,1551,6348,"6.1","SWB_RCMP_2018",59,33.33,73.25,66.67,62.5,2018-08-05,"Matilija Creek","RCMP","riverine","non-confined",1900-01-18,"true",2018-08-05,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"21","403BA0027",127,127,4392,"6.1","SMC/VCWPD",87,77.78,100,83.33,87.5,2015-07-13,"SMC00027","403BA0027","riverine","non-confined",NA,"true",2015-07-13,"403BA0027",34.66254,-119.05249,403,"Ventura","Santa Clara"
"22","403BA0136",27,27,4689,"6.1","SMC_SWAMP_2015",76,69.44,86.42,75,75,2015-06-09,"403BA0136 Boquet Canyon","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-06-09,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"23","403BA0136",710,1226,5316,"6.1","SMC_SWAMP_2016",69,66.67,79.75,66.67,62.5,2016-05-25,"Boquet Canyon","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-25,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"24","403CE0156",706,1222,5304,"6.1","SMC_SWAMP_2016",85,69.44,86.42,83.33,100,2016-05-24,"Santa Paula ","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-24,"403CE0156",34.37746,-119.05968,403,"Ventura","Santa Clara"
"25","403CE0156",23,23,4694,"6.1","PSA_SWAMP_2015",73,61.11,80.63,75,75,2015-06-11,"403CE0156 Santa Paula","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-06-11,"403CE0156",34.37746,-119.05968,403,"Ventura","Santa Clara"
"26","403CE0188",708,1224,5306,"6.1","SMC_SWAMP_2016",42,63.89,25,41.67,37.5,2016-05-26,"Santa Paula","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-26,"403CE0188",34.35646,-119.04752,403,"Ventura","Santa Clara"
"27","403CE0188",24,24,4693,"6.1","SMC_SWAMP_2015",44,61.11,25,41.67,50,2015-06-10,"403CE0188 Santa Paula","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-06-10,"403CE0188",34.35646,-119.04752,403,"Ventura","Santa Clara"
"28","403FC0011",1564,1564,6381,"6.1","NRSA_2018",67,47.22,82.92,75,62.5,2018-06-06,"NRS_CA_10011 Santa Clara River","NRSA","riverine","non-confined",1900-01-18,"true",2018-06-06,"403FC0011",34.3541,-119.0228,403,"Ventura","Santa Clara"
"29","403M01500",579,1288,5406,"6.1","SMC/VCWPD",39,25,62.5,41.67,25,2016-06-15,"403M01500","403M01500","riverine","confined",NA,"true",2016-06-15,"403M01500",34.29132,-119.14776,403,"Ventura","Santa Clara"
"30","403M01505",126,126,4393,"6.1","SMC/VCWPD",67,58.33,75,83.33,50,2015-06-29,"SMC2_01505","403M01505","riverine","non-confined",NA,"true",2015-06-29,"403M01505",34.41709,-118.92546,403,"Ventura","Santa Clara"
"31","403M01506",116,116,4403,"6.1","SMC/VCWPD",65,47.22,82.92,66.67,62.5,2015-06-17,"SMC2_01506","403M01506","riverine","non-confined",NA,"true",2015-06-17,"403M01506",34.39739,-118.79347,403,"Ventura","Santa Clara"
"32","403M01522",571,1280,5398,"6.1","SMC/VCWPD",70,77.78,86.42,66.67,50,2016-06-29,"403M01522","403M01522","riverine","non-confined",NA,"true",2016-06-29,"403M01522",34.41442,-118.78842,403,"Ventura","Santa Clara"
"33","403M01528",580,1289,5407,"6.1","SMC/VCWPD",66,58.33,90.29,66.67,50,2016-06-15,"403M01528","403M01528","riverine","non-confined",NA,"true",2016-06-15,"403M01528",34.27599,-119.14219,403,"Ventura","Santa Clara"
"34","403M01538",387,1519,6120,"6.1","SMC/VCWPD",72,58.33,90.29,75,62.5,2017-05-25,"403M01538","403M01538","riverine","confined",NA,"true",2017-05-25,"403M01538",34.41199,-118.83067,403,"Ventura","Santa Clara"
"35","403M01539",410,1542,6123,"6.1","SMC/VCWPD",86,75,93.29,100,75,2017-04-20,"403M01539","403M01539","riverine","non-confined",NA,"true",2017-04-20,"403M01539",34.54733,-119.16554,403,"Ventura","Santa Clara"
"36","403M01553",389,1521,6122,"6.1","SMC/VCWPD",72,72.22,86.42,66.67,62.5,2017-05-25,"403M01553","403M01553","riverine","non-confined",NA,"true",2017-05-25,"403M01553",34.43845,-118.92539,403,"Ventura","Santa Clara"
"37","403M01560",1851,1851,7250,"6.1","SMC/VCWPD",58,52.78,93.29,50,37.5,2019-01-05,"403M01560",NA,"riverine","non-confined",1900-01-18,"true",2019-01-05,"403M01560",34.23545,-119.21253,403,"Ventura","Santa Clara"
"38","403M01565",1661,1661,6684,"6.1","SMC/VCWPD",62,61.11,86.42,50,50,2018-01-06,"403M01565","SMC","riverine","non-confined",1900-01-18,"true",2018-01-06,"403M01565",34.38023,-119.06545,403,"Ventura","Santa Clara"
"39","403M01571",1813,1813,7171,"6.1","SMC/VCWPD",83,72.22,96.54,100,62.5,2019-01-06,"403M01571",NA,"riverine","confined",1900-01-18,"true",2019-01-06,"403M01571",34.58667,-119.27994,403,"Ventura","Santa Clara"
"40","403M01580",1850,1850,7249,"6.1","SMC/VCWPD",60,38.89,90.29,50,62.5,2019-01-05,"403M01580",NA,"riverine","non-confined",1900-01-18,"true",2019-01-05,"403M01580",34.23495,-119.23075,403,"Ventura","Santa Clara"
"41","403M01626",1660,1660,6683,"6.1","SMC/VCWPD",69,61.11,90.29,75,50,2018-01-06,"403M01626","SMC","riverine","non-confined",1900-01-18,"true",2018-01-06,"403M01626",34.43605,-119.0864,403,"Ventura","Santa Clara"
"42","403M05757",185,185,4253,"6.1","SMC",67,61.11,93.29,75,37.5,2015-06-29,"403M05757","403M05757","riverine","confined",NA,"true",2015-06-29,"403M05757",34.54518,-118.43467,403,"Los Angeles","Santa Clara"
"43","403M05758",184,184,4254,"6.1","SMC",76,72.22,90.29,66.67,75,2015-06-29,"403M05758","403M05758","riverine","non-confined",NA,"true",2015-06-29,"403M05758",34.43484,-118.61254,403,"Los Angeles","Santa Clara"
"44","403M05771",186,186,4237,"6.1","SMC",75,77.78,92.04,66.67,62.5,2015-04-30,"403M05771","403M05771","riverine","non-confined",NA,"true",2015-04-30,"403M05771",34.69939,-118.79476,403,"Los Angeles","Santa Clara"
"45","403M05774",558,1267,5367,"6.1","SMC_LA",74,66.67,90.29,75,62.5,2016-06-22,"403M05774",NA,"riverine","non-confined",NA,"true",2016-06-22,"403M05774",34.42692,-118.62067,403,"Los Angeles","Santa Clara"
"46","403M05780",555,1264,5363,"6.1","SMC_LA",68,72.22,96.54,41.67,62.5,2016-05-26,"403M05780",NA,"riverine","non-confined",NA,"true",2016-05-26,"403M05780",34.60452,-118.55686,403,"Los Angeles","Santa Clara"
"47","403PRCAGH",1037,803,1735,"5.0.2","PSA_RCMP_2011",91,75,100,100,88,2011-06-16,"Piru Creek PRCAGH",NA,"riverine","non-confined",NA,"true",2011-06-16,"403PRCAGH",34.69449,-118.92051,403,"Ventura","Santa Clara"
"48","403R4S117",36,36,4676,"6.1","SMC_SWAMP_2015",71,75,82.92,75,50,2015-04-28,"403R4S117 San Francisquito u/s of Power Plant","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-04-28,"403R4S117",34.58739,-118.45116,403,"Los Angeles","Santa Clara"
"49","403R4S117",696,1212,5112,"6.1","SMC_SWAMP_2016",70,75,82.92,58.33,62.5,2016-05-03,"San Francisquito u/s of Power Plant","RWB$_SMC_2016","riverine","non-confined",NA,"true",2016-05-03,"403R4S117",34.58739,-118.45116,403,"Los Angeles","Santa Clara"
"50","403R4S137",694,1210,5108,"6.1","SMC_SWAMP_2016",36,25,37.5,58.33,25,2016-05-31,"Stream off of Plum Canyon Road","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-31,"403R4S137",34.44605,-118.4892,403,"Los Angeles","Santa Clara"
"51","403R4S137",34,34,4678,"6.1","SMC_SWAMP_2015",30,25,30.17,41.67,25,2015-04-28,"403R4S137 concrete stream off of Plum Cyn Rd","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-04-28,"403R4S137",34.44605,-118.4892,403,"Los Angeles","Santa Clara"
"52","403R4S193",709,1225,5315,"6.1","SMC_SWAMP_2016",72,77.78,62.5,58.33,87.5,2016-05-24,"Piru Creek 403R4S193","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-24,"403R4S193",34.41722,-118.78927,403,"Ventura","Santa Clara"
"53","403R4S193",33,33,4679,"6.1","SMC_SWAMP_2015",80,77.78,80.63,75,87.5,2015-04-29,"403R4S193 Piru Creek","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-04-29,"403R4S193",34.41722,-118.78927,403,"Ventura","Santa Clara"
