"","stationcode","objectid","sampleid","sampledate","samplemonth","sampleday","sampleyear","collectionmethodcode","fieldreplicate","databasecode","count","number_of_mmi_iterations","number_of_oe_iterations","pcnt_ambiguous_individuals","pcnt_ambiguous_taxa","e","mean_o","oovere","oovere_percentile","mmi","mmi_percentile","csci","csci_percentile","scoredate","scorenotes","cleaned","rand","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project","masterid","latitude","longitude","huc","county","smcshed"
"1","402BA0031",1958,"402BA0031_05282008_BMI_RWB_1",2008-05-28,5,28,2008,"BMI_RWB",1,NA,75,1,1,1.33333333,4.54545455,8.42636187,6,0.71205107,0.07,0.56746526,0.01,0.63975817,0.01,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0031",34.44652,-119.29227,402,"Ventura","Ventura"
"2","402BA0079",1959,"402BA0079_05282008_BMI_RWB_1",2008-05-28,5,28,2008,"BMI_RWB",1,NA,655,20,20,0.76335878,9.75609756,10.15133708,8.55,0.84225358,0.2,0.76776221,0.1,0.8050079,0.11,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0079",34.41183,-119.27418,402,"Ventura","Ventura"
"3","402BA0095",1960,"402BA0095_05292008_BMI_RWB_1",2008-05-29,5,29,2008,"BMI_RWB",1,NA,485,1,20,2.4742268,6.94444444,11.11179491,14.75,1.32741831,0.96,1.10448302,0.72,1.21595066,0.91,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0095",34.46328,-119.34566,402,"Ventura","Ventura"
"4","402BA0143",1961,"402BA0143_05212008_BMI_RWB_1",2008-05-21,5,21,2008,"BMI_RWB",1,NA,573,20,20,8.75656743,11.11111111,7.91252585,5.95,0.75197227,0.1,0.58339355,0.01,0.66768291,0.02,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0143",34.36483,-119.31057,402,"Ventura","Ventura"
"5","402BA0287",1962,"402BA0287_06092008_BMI_RWB_1",2008-06-09,6,9,2008,"BMI_RWB",1,NA,592,20,20,1.85810811,4.47761194,12.80264413,13.6,1.06228056,0.63,1.01762477,0.54,1.03995266,0.6,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0287",34.50284,-119.36644,402,"Ventura","Ventura"
"6","402BA0287",1963,"402BA0287_06092008_BMI_RWB_2",2008-06-09,6,9,2008,"BMI_RWB",2,NA,585,20,20,2.56410256,8.69565217,12.80264413,15.3,1.19506563,0.85,0.93431215,0.36,1.06468889,0.66,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0287",34.50284,-119.36644,402,"Ventura","Ventura"
"7","402BA0335",1964,"402BA0335_05272008_BMI_RWB_1",2008-05-27,5,27,2008,"BMI_RWB",1,NA,591,20,20,0,0,7.91122725,7.7,0.97330032,0.44,0.72707352,0.06,0.85018692,0.18,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0335",34.37965,-119.30751,402,"Ventura","Ventura"
"8","402BA0335",1965,"402BA0335_05272008_BMI_RWB_2",2008-05-27,5,27,2008,"BMI_RWB",2,NA,586,20,20,4.1025641,13.7254902,7.91122725,4.65,0.58777227,0.02,0.82487994,0.16,0.7063261,0.03,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","CEDEN",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0335",34.37965,-119.30751,402,"Ventura","Ventura"
"9","402M00002",1966,"402M00002_08132015_BMI_RWB_MCM_1",2015-08-13,8,13,2015,"BMI_RWB_MCM",1,NA,281,1,1,1.06761566,5.88235294,7.72095355,6,0.77710609,0.12,0.63619841,0.02,0.70665225,0.03,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00002",34.31063,-119.29916,402,"Ventura","Ventura"
"10","402M00005",1967,"402M00005_06112015_BMI_RWB_1",2015-06-11,6,11,2015,"BMI_RWB",1,NA,586,20,20,0.68259386,5.45454545,11.16244364,13.65,1.22285052,0.88,0.63030969,0.02,0.9265801,0.32,2020-08-10 16:08:18,"Distinct set to NA","Yes",2,"machine","SMC",2020-08-10 16:08:18,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00005",34.51364,-119.40097,402,"Ventura","Ventura"
