"","stationcode","objectid","originalid","projectcode","stationdesc","sampledate","evaluator","determination","determinationcomments","channeltype","structurewidth","structureshape","structureshapecomments","rightsideofstructure","rightvegetation","rightsidecomments","leftsideofstructure","leftvegetation","leftsidecomments","bottom","bottomcomments","vegetation","lowflowpresence","lowflowwidth","gradecontrolpresence","gradecontrollocation","gradecontrolcomments","channelmodcomments","lastchangedate","record_timestamp","app_timestamp","sitetype","novelsite","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_agency","login_email","login_owner","login_year","login_project","ceden_publish","masterid","latitude","longitude","huc","county","smcshed"
"1","402BA0031",604,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{3B8A83A1-4396-4166-BF8E-C9694A02E42A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0031",34.44652,-119.29227,402,"Ventura","Ventura"
"2","402BA0079",605,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{522673C9-CA1B-4ADA-AD41-D9C2DDE0BB3F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0079",34.41183,-119.27418,402,"Ventura","Ventura"
"3","402BA0095",606,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{E9287E8F-178E-4F39-9047-8964CB2C6C96}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0095",34.46328,-119.34566,402,"Ventura","Ventura"
"4","402BA0143",607,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Engineered",">100 m","Natural",NA,"Earthen","Yes",NA,"Rock","No","Vegetation at water but not on levy","Soft/Natural",NA,"Not recorded","Absent","NA","Absent","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{BE3B0241-7047-4585-AE0E-9EF066D41B11}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0143",34.36483,-119.31057,402,"Ventura","Ventura"
"5","402BA0287",608,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{B33E260F-8C23-404E-90CC-C04DC2847EEB}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0287",34.50284,-119.36644,402,"Ventura","Ventura"
"6","402BA0335",609,NA,"NotRecorded",NA,1950-01-01,"K.Hahs","Review of historic data",NA,"Natural","NA","NA",NA,"NA","Yes",NA,"NA","Yes",NA,"NA",NA,"Not recorded","NA","NA","Not determined","NA",NA,NA,NA,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{8B0E28F7-427B-4B1C-B4D4-3BB2BB2A41CC}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402BA0335",34.37965,-119.30751,402,"Ventura","Ventura"
"7","402M00002",610,144,"SMC_VCWPD_2015",NA,2015-08-13,"Karin Wisenbaker","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-11-13,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{9DFBD835-3A2B-4A90-9728-AAD192C5CFD4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00002",34.31063,-119.29916,402,"Ventura","Ventura"
"8","402M00005",611,155,"SMC_VCWPD_2015",NA,2015-06-11,"Karin Wisenbaker","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-11-13,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{47E0EA0B-5B8D-4504-88AA-DA696D8B0A5D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00005",34.51364,-119.40097,402,"Ventura","Ventura"
"9","402M00009",612,147,"SMC_VCWPD_2015",NA,2015-06-29,"Karin Wisenbaker","Site Visit",NA,"Natural","NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA",NA,"NA","NA","NA","Absent","NA",NA,NA,2015-11-13,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{DC53D919-4FA5-4C9B-A4A5-4601D186F91C}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00009",34.41824,-119.37505,402,"Ventura","Ventura"
"10","402M00015",898,NA,NA,NA,2016-06-06,"Karin WIsenbaker","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Absent",NA,NA,NA,2017-03-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{8093A36B-CBDC-4A1A-A20D-B75796BA343E}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00015",34.47484,-119.29151,402,"Ventura","Ventura"
"11","402M00029",899,NA,NA,NA,2016-06-06,"Karin WIsenbaker","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Present","Within reach",NA,NA,2017-03-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{BCDF5E5E-86DE-4B37-B7A7-283B8314FDA6}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00029",34.35798,-119.31172,402,"Ventura","Ventura"
"12","402M00030",381,NA,NA,NA,2017-04-19,"Karin Wisenbaker","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,2018-05-17,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{4E80A8E4-77A6-438E-8777-A71BF267B37A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00030",34.43881,-119.29959,402,"Ventura","Ventura"
"13","402M00042",382,NA,NA,NA,2017-04-19,"Karin Wisenbaker","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,2018-05-17,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{AAA38EA1-A6ED-46D9-BF9D-5102C933690D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00042",34.46039,-119.28891,402,"Ventura","Ventura"
"14","402M00043",900,NA,NA,NA,2016-06-22,"Brianna Jones","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Absent",NA,NA,NA,2017-03-07,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{0414B5F6-F5A1-41A5-A435-B84F27423C96}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00043",34.50161,-119.34749,402,"Ventura","Ventura"
"15","402M00046",383,NA,NA,NA,2017-04-26,"Karin Wisenbaker","Site Visit",NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absent",NA,NA,NA,2018-05-17,NA,NA,"exists","false","SMC",2019-01-23 00:00:00,"true","{C7535226-3DFC-4B53-8DBF-3AAA9D2C40F8}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00046",34.42402,-119.30011,402,"Ventura","Ventura"
"16","402M00058",1085,94,"SMC_VCWPD_2019",NA,2019-06-10,"K. Wisenbaker","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-10-30 11:30:03,"false","{8177391A-C7E4-4A97-861B-F0184B8C3325}","checker",2019-10-30 11:30:03,"checker",2019-10-30 11:30:03,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"402M00058",34.44552,-119.29586,402,"Ventura","Ventura"
"17","402M00066",1014,23,"SMC_VCWPD_2018",NA,2018-07-23,"Brianna Jones","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-04-05 06:49:25,"true","{8A51ED75-12F1-42B5-951C-BB9D16CC25F3}","checker",2019-04-05 06:49:25,"checker",2019-04-05 06:49:25,"ABCL","jeffb@sccwrp.org","VCWPD","2018","SMC",NA,"402M00066",34.29325,-119.30742,402,"Ventura","Ventura"
"18","402M00082",1015,24,"SMC_VCWPD_2018",NA,2018-07-23,"Brianna Jones","Site visit","","Natural","NR","NR","","NR","NR","","NR","NR","","NR","","NR","NR","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-04-05 06:49:25,"true","{6AE50108-4C19-4451-9947-50DF9717A522}","checker",2019-04-05 06:49:25,"checker",2019-04-05 06:49:25,"ABCL","jeffb@sccwrp.org","VCWPD","2018","SMC",NA,"402M00082",34.29004,-119.30801,402,"Ventura","Ventura"
"21","402M00110",1086,95,"SMC_VCWPD_2019",NA,2019-06-10,"K. Wisenbaker","Site visit","","Engineered","100+ m","NR","","Rock","Yes","","Earthen","Yes","","Soft/Natural","","No","Absent","NR","Absent","NR","","",NA,NA,NA,NA,NA,"SMC",2019-10-30 11:30:03,"false","{65200164-BAFF-4A45-BC22-3EBCB8886B3A}","checker",2019-10-30 11:30:03,"checker",2019-10-30 11:30:03,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"402M00110",34.42735,-119.30364,402,"Ventura","Ventura"
