"","stationcode","objectid","originalid","sampledate","evaluator","hydromodcomments","fullyarmoredcomments","area","precipitation","valleyslope","valleywidth","giscomments","d50estimated","d50","d50comments","bankheightl1","bankheightl2","bankheightl3","bankheightr1","bankheightr2","bankheightr3","bankheightcomments","bankanglel1","bankanglel2","bankanglel3","bankangler1","bankangler2","bankangler3","bankanglecomments","streambedstate","streambedstatecomments","armoringpotential","armoringpotentialcomments","gradecontrol","gradecontrolcomments","lateralsusceptibilityl","lateralsusceptibilityr","lateralsusceptibilitycomments","sourcefile","q10","num_index","vertrating","vertsuscept","vwi","massriskthreshl1","massriskthreshl2","massriskthreshl3","massriskthreshr1","massriskthreshr2","massriskthreshr3","masssusceptl1","masssusceptl2","masssusceptl3","masssusceptr1","masssusceptr2","masssusceptr3","latratingl1","latratingl2","latratingl3","latratingr1","latratingr2","latratingr3","averagelatsuscept","leftratingoverall","rightratingoverall","lateralratingoverall","projectcode","submissionid","lastchangedate","fullyarmored","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_agency","login_email","login_owner","login_year","login_project","ceden_publish","masterid","latitude","longitude","huc","county","smcshed"
"1","402M00002",1,1,2015-08-13,"Karin Wisenbaker",NA," ",215,26,0,1065,NA,NA,1,NA,0,0,0,0,0,0," ",20,80,20,30,70,10,NA,"B",NA,"9"," ","9"," ",4,4,NA,"SMCHydromod_VCWPD_2015",687,NA,6,"MEDIUM",8,21,0,21,7,0,108,"LOW","HIGH","LOW","LOW","HIGH","LOW","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{96BDD127-6752-4B3D-862A-6ED48C60D18E}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00002",34.31063,-119.29916,402,"Ventura","Ventura"
"2","402M00005",2,2,2015-06-15,"Karin Wisenbaker",NA," ",25,36,0,225,NA,NA,230,NA,0,0,0,0,0,0," ",10,15,15,10,10,20,NA,"C",NA," "," "," "," ",3,3,NA,"SMCHydromod_VCWPD_2015",135,NA,3,"LOW",3,108,43,43,108,108,21,"LOW","LOW","LOW","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{0746C55F-E1B6-4B20-A6CF-D8B7A16CC12A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00005",34.51364,-119.40097,402,"Ventura","Ventura"
"3","402M00009",3,3,2015-06-29,"Karin Wisenbaker",NA," ",12,28,0,94,NA,NA,21,NA,0,0,0,0,0,0," ",32,30,10,10,25,12,NA,"B",NA,"3"," ","9"," ",3,3,NA,"SMCHydromod_VCWPD_2015",61,NA,5,"MEDIUM",2,6,7,108,108,12,72,"LOW","LOW","LOW","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{0922B9FD-422C-4326-BD79-42305B24EAA4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00009",34.41824,-119.37505,402,"Ventura","Ventura"
"4","402M00030",100,627,2017-04-19,"Karin Wisenbaker",NA,NA,80,31,0,219,"Examined on google maps, may not be agriculture",NA,90,NA,1,1,1,1,1,1,NA,15,15,15,25,20,15,NA,"C","NA",NA,"NA",NA,"NA",3,3,"NA","VCWPD Hydromod SMC 2017",331,0,3,"LOW",2,43,43,43,12,21,43,"LOW","LOW","LOW","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{6D03F5B5-06F4-4CF7-AEDE-DB4F5BAE3809}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00030",34.43881,-119.29959,402,"Ventura","Ventura"
"5","402M00042",101,628,2017-04-19,"Karin Wisenbaker",NA,NA,74,32,0,276,"Original stream coordinates within housing so stream sampling area moved to west main stem",NA,50,NA,1,1,0,0,0,0,NA,15,20,20,5,25,45,NA,"C","NA",NA,"NA",NA,"NA",3,3,"NA","VCWPD Hydromod SMC 2017",315,0,3,"LOW",3,43,21,21,484,12,2,"LOW","LOW","LOW","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{95D0F84E-BCC9-48C0-8112-C891A52F2749}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00042",34.46039,-119.28891,402,"Ventura","Ventura"
"6","402M00046",102,629,2017-04-26,"Karin Wisenbaker",NA,NA,80,31,0,1834,"Selected main stem instead of tributary, google earth indicated tributary connected to main stem",NA,90,NA,1,1,2,1,0,2,NA,30,2,15,10,30,15,NA,"C","NA",NA,"NA",NA,"NA",4,4,"NA","VCWPD Hydromod SMC 2017",332,0,3,"LOW",20,7,2037,43,108,7,43,"LOW","LOW","LOW","LOW","LOW","LOW","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{E41C2769-073D-40E4-B3A2-3FD77BA0AEDB}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00046",34.42402,-119.30011,402,"Ventura","Ventura"
"7","402M00058",154,6,2019-06-10,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",3,2,3,3,1,3,"",65,40,70,70,40,60,"","C","","NR","NR","NR","",3,3,"",NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIGH",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{E79B454F-937D-43A8-8519-BE52E881C9BE}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"402M00058",34.44552,-119.29586,402,"Ventura","Ventura"
"10","402M00110",155,7,2019-06-10,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",2,3,4,2,2,2,"",30,35,45,60,75,45,"","C","","NR","NR","NR","",3,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{56F93764-6075-4EDF-98B3-B0C1F79995DF}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"402M00110",34.42735,-119.30364,402,"Ventura","Ventura"
"11","402M00127",156,8,2019-06-10,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",3,3,20,2,2,2,"",55,65,60,45,20,25,"","B","","C","NR","C","",5,4,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{34D92EC7-5612-4F1C-AA2E-6E12AE38CF05}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"402M00127",34.42503,-119.26342,402,"Ventura","Ventura"
"13","403CE0156",4,4,2015-06-11,"SM",NA," ",45,25,0,820,NA,NA,15,"Not in file",0,0,0,0,0,0," ",30,56,42,32,41,31,NA,"A",NA,NA," ",NA," ",4,4,NA,"Region 4 hydromod data",173,NA,9,"HIGH",12,7,1,2,6,3,6,"LOW","LOW","LOW","LOW","LOW","LOW","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","RWB4_SMC_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{04BCDA3D-E514-4E23-9941-A056BE38E488}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403CE0156",34.37746,-119.05968,403,"Ventura","Santa Clara"
