"","stationcode","objectid","originalid","toxbatchrecordid","sampledate","fieldreplicate","fieldsampleid","labsampleid","sampletypecode","matrixname","methodname","testduration","organismname","toxbatch","toxtestcomments","treatment","concentration","unittreatment","dilution","toxpointmethod","analytename","fractionname","wqsource","timepoint","unitanalytename","repcount","mean","stddev","statisticalmethod","alphavalue","probability","msd","evalthreshold","sigeffect","testqacode","labagencycode","toxsummarycomments","submissionid","lastchangedate","projectcode","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_agency","login_email","login_owner","login_year","login_project","ceden_publish","masterid","latitude","longitude","huc","county","smcshed"
"1","402M00002",3208,4967,846,2015-08-13,1,"SMC2_00002","VCF0815.230cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0815.230cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,20.9,7.078,"T-test",0.05,0.885,20,13.84,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{E31ECE5B-3607-4F6F-8CD8-A675C95D6A32}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00002",34.31063,-119.29916,402,"Ventura","Ventura"
"2","402M00002",3206,4965,846,2015-08-13,1,"SMC2_00002","VCF0815.230cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0815.230cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{AE936F9B-31C5-4C35-A0C7-6B0B6FD9210A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00002",34.31063,-119.29916,402,"Ventura","Ventura"
"3","402M00005",3140,4899,845,2015-06-11,1,"SMC2_00005","VCF0615.122cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.122cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,22.4,6.059,"T-test",0.05,0.897,20,15.04,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{33F687E2-6693-41BF-AC94-03317AEC1265}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00005",34.51364,-119.40097,402,"Ventura","Ventura"
"4","402M00005",3138,4897,845,2015-06-11,1,"SMC2_00005","VCF0615.122cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.122cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{53FE4649-27DB-41AB-9C1C-7A90D48BF2F6}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00005",34.51364,-119.40097,402,"Ventura","Ventura"
"5","402M00009",3182,4941,832,2015-06-29,1,"SMC2_00009","VCF0615.270cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.270cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{99CFC069-3702-486B-9A4F-8AA148600CB5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00009",34.41824,-119.37505,402,"Ventura","Ventura"
"6","402M00009",3184,4943,832,2015-06-29,1,"SMC2_00009","VCF0615.270cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.270cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,27.3,5.736,"T-test",0.05,0.924,20,18.64,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{C647FDB5-6A71-497C-BADE-17AC6F01D5A9}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00009",34.41824,-119.37505,402,"Ventura","Ventura"
"7","402M00066",3622,5381,934,2018-07-23,1,"402M00066","VCF0718.198hya","Grab","sediment","EPA 600/R-99-064","10 days","HyAz","ABCL_VCF0718.198hya_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 10","%",4,92.5,9.574,"T-test",0.05,0.656,20,80,"NSG","None","ABCL",NA,5122,2018-11-07 13:21:31,NA,"SMC",2019-01-23 00:00:00,"true","{6350ED35-DBAD-4DF6-9C39-95D5929A8483}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00066",34.29325,-119.30742,402,"Ventura","Ventura"
"8","402M00114",3616,5375,931,2018-06-14,1,"402M00114","VCF0618.141hya","Grab","sediment","EPA 600/R-99-064","10 days","HyAz","ABCL_VCF0618.141hya_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 10","%",4,82.5,9.574,"T-test",0.05,0.09,20,80,"NSG","None","ABCL",NA,5122,2018-11-07 13:21:31,NA,"SMC",2019-01-23 00:00:00,"true","{54517559-FA88-404E-90F9-0DCBBDA2EDF4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402M00114",34.41665,-119.37011,402,"Ventura","Ventura"
"9","402SNPMCR",3036,4795,782,2014-05-28,1,"402SNPMCR","VCF0514.259c","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0514.259cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5078,2014-11-05 07:40:52,NA,"SMC",2019-01-23 00:00:00,"true","{A5FAC049-6AB6-445F-87F8-AED75BAA5609}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"10","402SNPMCR",3038,4797,782,2014-05-28,1,"402SNPMCR","VCF0514.259c","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0514.259cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,23,9.357,"T-test",0.05,0.1,20,80,"NSG","None","ABCL",NA,5078,2014-11-05 07:40:52,NA,"SMC",2019-01-23 00:00:00,"true","{BE20C1AD-B7A5-49C0-9950-D19E43439DD1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"402SNPMCR",34.50509,-119.37741,402,"Ventura","Ventura"
"11","403M01505",3180,4939,844,2015-06-29,1,"SMC2_01505","VCF0615.269cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.269cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,31.2,9.247,"T-test",0.05,0.95,20,19.92,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{3AE0C891-BBD9-4FFA-B024-614504AE143A}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01505",34.41709,-118.92546,403,"Ventura","Santa Clara"
"12","403M01505",3178,4937,844,2015-06-29,1,"SMC2_01505","VCF0615.269cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.269cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{1192DB21-E81B-4791-AE26-D773F0FE2C84}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01505",34.41709,-118.92546,403,"Ventura","Santa Clara"
"13","403M01506",3162,4921,833,2015-06-17,1,"SMC2_01506","VCF0615.175cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.175cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{4BA75D53-1A6A-4EAB-A5CE-971DB48C7995}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01506",34.39739,-118.79347,403,"Ventura","Santa Clara"
"14","403M01506",3164,4923,833,2015-06-17,1,"SMC2_01506","VCF0615.175cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0615.175cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,17.8,7.068,"T-test",0.05,0.137,20,16.56,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{EE169477-7907-4F0D-8A7E-7904E5C79EA5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01506",34.39739,-118.79347,403,"Ventura","Santa Clara"
"15","404M04532",3200,4959,831,2015-07-14,1,"SMC2_04532","VCF0715.110cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0715.110cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,7.3,3.433,"T-test",0.05,0,20,21.76,"SL","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{E19DDD42-172C-42BA-BF60-9ED70361EFE7}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"404M04532",34.1744,-118.78748,404,"Ventura","Santa Monica Bay"
"16","404M04532",3198,4957,831,2015-07-14,1,"SMC2_04532","VCF0715.110cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_VCF0715.110cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5089,2015-10-13 12:31:02,NA,"SMC",2019-01-23 00:00:00,"true","{69FCDF63-EF70-429B-B092-4E29241AFA5F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"404M04532",34.1744,-118.78748,404,"Ventura","Santa Monica Bay"
"17","404M07372",3721,98,NA,2019-07-09,1,"404M07372","WST0719.113h","Grab","sediment","EPA 600/R-99-064","10 days","HyAz","ABCL_WST0719.113hya_W_TOX","","None",0,"None",100,"None","Survival","None","Not Applicable","Day 10","%",4,100,0,"Mann-U",0.05,1,20,20,"NSG","None","WestonSolu","",NA,NA,"SMC_LACFCD_2019","SMC",2020-01-17 22:04:03,"false","{A040C0D3-7AE3-441A-96FF-D1E6572607A2}","checker",2020-01-17 22:04:03,"checker",2020-01-17 22:04:03,"WestonSolu","satomi.yonemasu@westonsolutions.com","LACFCD","2019","SMC",NA,"404M07372",34.13604,-118.75743,404,"Los Angeles","Santa Monica Bay"
"18","404M07372",3719,96,NA,2019-07-09,1,"404M07372","WST0719.113h","Grab","sediment","EPA 600/R-99-064","10 days","HyAz","ABCL_WST0719.113hya_W_TOX","","None",0,"None",100,"None","Biomass (wt/orig indiv)","None","Not Applicable","Day 10","mg/ind",4,0.06,0.009661,"T-test",0.05,0.998,20,20,"NSG","None","WestonSolu","",NA,NA,"SMC_LACFCD_2019","SMC",2020-01-17 22:04:03,"false","{F7B2BE68-333A-4460-A0B2-CCB851575420}","checker",2020-01-17 22:04:03,"checker",2020-01-17 22:04:03,"WestonSolu","satomi.yonemasu@westonsolutions.com","LACFCD","2019","SMC",NA,"404M07372",34.13604,-118.75743,404,"Los Angeles","Santa Monica Bay"
"19","405CE0280",3256,5015,863,2015-07-06,1,"SGUT0280","SGR0715.031cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0715.031cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,22.9,6.332,"T-test",0.05,0.896,20,13.68,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{8D070C7B-6C81-4DFB-910E-2B2A944FADC7}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405CE0280",34.23041,-117.74981,405,"Los Angeles","San Gabriel"
"20","405CE0280",3254,5013,863,2015-07-06,1,"SGUT0280","SGR0715.031cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0715.031cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{9C48768D-7F2B-43D9-9B55-60421F92CA08}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405CE0280",34.23041,-117.74981,405,"Los Angeles","San Gabriel"
"21","405M10598",3234,4993,859,2015-06-30,1,"SGLR10598","SGR0615.274cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0615.274cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{B458C542-4DB6-41DB-A5BB-9566E4ECD141}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405M10598",34.06991,-117.77146,405,"Los Angeles","San Gabriel"
"22","405M10598",3236,4995,859,2015-06-30,1,"SGLR10598","SGR0615.274cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0615.274cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,33.9,7.475,"Mann-U",0.05,0.942,20,21.52,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{C73A2B2B-3106-4A40-B099-1B48DC4B9BF6}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405M10598",34.06991,-117.77146,405,"Los Angeles","San Gabriel"
"23","405M10599",3240,4999,860,2015-06-30,1,"SGLR10599","SGR0615.275cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0615.275cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,33.8,5.594,"Mann-U",0.05,0.973,20,21.52,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{4BA593D5-CF67-42FF-B498-E61F08F8D66B}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405M10599",33.95045,-118.04896,405,"Los Angeles","San Gabriel"
"24","405M10599",3238,4997,860,2015-06-30,1,"SGLR10599","SGR0615.275cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0615.275cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,70,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{93614816-DCDD-41ED-A6C2-223D3D3231CA}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405M10599",33.95045,-118.04896,405,"Los Angeles","San Gabriel"
"25","405PS0030",3266,5025,858,2015-07-08,2,"SGUR0030 DUP","SGR0715.062cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0715.062cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{BA5BDF5D-26B5-4174-A9BE-E1DB6519C4E3}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405PS0030",34.23487,-117.80523,405,"Los Angeles","San Gabriel"
"26","405PS0030",3262,5021,864,2015-07-08,1,"SGUR0030","SGR0715.061cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0715.061cer_W_TOX",NA,"None",-88,"None",100,"None","Survival","None","Not Applicable","Day 7","%",10,100,0,"Fisher",0.05,1,20,80,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{934644E8-68F2-4946-B138-BA2F574D67C4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405PS0030",34.23487,-117.80523,405,"Los Angeles","San Gabriel"
"27","405PS0030",3268,5027,858,2015-07-08,2,"SGUR0030 DUP","SGR0715.062cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0715.062cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,27.5,7.442,"T-test",0.05,0.941,20,17.68,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{57E38981-1E21-42DF-A28E-87D30F4CF793}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405PS0030",34.23487,-117.80523,405,"Los Angeles","San Gabriel"
"28","405PS0030",3264,5023,864,2015-07-08,1,"SGUR0030","SGR0715.061cer","Grab","samplewater","EPA 821/R-02-013","7 days","CeDu","ABCL_SGR0715.061cer_W_TOX",NA,"None",-88,"None",100,"None","Young/female","None","Not Applicable","Day 7","Num/Rep",10,23.6,3.596,"T-test",0.05,0.717,20,17.68,"NSG","None","ABCL",NA,5091,2015-10-13 15:24:33,NA,"SMC",2019-01-23 00:00:00,"true","{ED97DEC4-CC0B-4F14-B9C1-F619EBDC93B4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405PS0030",34.23487,-117.80523,405,"Los Angeles","San Gabriel"
"29","407M01516",3174,4933,841,2015-06-24,1,"SMC2_01516","VCF0615.232hya","Grab","samplewater","EPA 821/R-02-013M","7 days","HyAz","ABCL_VCF0615.232hya_W_TOX",NA,"None",-88,"None",100,"None","Biomass (wt/orig indiv)","None","Not Applicable","Day 7","mg/ind",5,0.1734,0.09,"T-test",0.05,0.995,20,0.02464,"NSG","None","ABCL",NA,5089,2016-11-01 14:11:23,NA,"SMC",2019-01-23 00:00:00,"true","{8CAF8CA0-FF6D-493A-B1B4-C394188D3843}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"407M01516",34.25539,-119.25498,407,"Ventura","Santa Clara"
