"","stationcode","objectid","sitetype","sampledate","evaluator","taxon","taxondetails","lifestage","abundance","notes","recordtimestamp","status","projectcode","stationdesc","no_observation","globalid","created_user","created_date","last_edited_user","last_edited_date","login_agency","login_email","login_owner","login_year","login_project","record_origin","origin_lastupdatedate","record_publish","originalid","ceden_publish","masterid","latitude","longitude","huc","county","smcshed"
"1","402M00002",394,"exists",2015-08-13,"Wendy Willis","Procambarus clarkii","","Juvenile/Adult","11 to 50","",2015-10-22 10:42:30,"","SMC_VCWPD_2015","","false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2015-10-22 10:42:30,"true",NA,NA,"402M00002",34.31063,-119.29916,402,"Ventura","Ventura"
"2","402M00002",395,"exists",2015-08-13,"Wendy Willis","Gambusia affinis","","Juvenile/Adult","More than 50","",2015-10-22 10:42:30,"","SMC_VCWPD_2015","","false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2015-10-22 10:42:30,"true",NA,NA,"402M00002",34.31063,-119.29916,402,"Ventura","Ventura"
"3","402M00005",416,"exists",2015-06-11,"Wendy Willis","Other amphibian","","Larvae","11 to 50","Pseudacaris cadaverina",2015-10-22 11:02:09,"","SMC_VCWPD_2015","","false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2015-10-22 11:02:09,"true",NA,NA,"402M00005",34.51364,-119.40097,402,"Ventura","Ventura"
"4","402M00005",417,"exists",2015-06-11,"Wendy Willis","Other fish","","Juvenile/Adult","1 to 10","Partially unarmored stickleback",2015-10-22 11:02:09,"","SMC_VCWPD_2015","","false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2015-10-22 11:02:09,"true",NA,NA,"402M00005",34.51364,-119.40097,402,"Ventura","Ventura"
"5","402M00009",400,"exists",2015-06-29,"Wendy Willis","Pacifastacus lenisculus","","Juvenile/Adult","More than 50","",2015-10-22 10:48:39,"","SMC_VCWPD_2015","","false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2015-10-22 10:48:39,"true",NA,NA,"402M00009",34.41824,-119.37505,402,"Ventura","Ventura"
"6","402M00015",518,"exists",2016-06-06,"Wendy Willis","Other amphibian",NA,"Larvae","1 to 10","Pseudacris regilla",2016-10-26 07:25:33,NA,NA,NA,"false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2016-10-26 07:25:33,"true",NA,NA,"402M00015",34.47484,-119.29151,402,"Ventura","Ventura"
"7","402M00015",517,"exists",2016-06-06,"Wendy Willis","Other amphibian",NA,"Juvenile/Adult","1 to 10","Pseudacris regilla",2016-10-26 07:25:33,NA,NA,NA,"false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2016-10-26 07:25:33,"true",NA,NA,"402M00015",34.47484,-119.29151,402,"Ventura","Ventura"
"8","402M00029",521,"exists",2016-06-06,"Wendy Willis","Lithobates catesbeianus",NA,"Juvenile/Adult","1 to 10",NA,2016-10-26 07:26:48,NA,NA,NA,"false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2016-10-26 07:26:48,"true",NA,NA,"402M00029",34.35798,-119.31172,402,"Ventura","Ventura"
"9","402M00029",520,"exists",2016-06-06,"Wendy Willis","Procambarus clarkii",NA,"Juvenile/Adult","1 to 10",NA,2016-10-26 07:26:48,NA,NA,NA,"false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2016-10-26 07:26:48,"true",NA,NA,"402M00029",34.35798,-119.31172,402,"Ventura","Ventura"
"10","402M00029",519,"exists",2016-06-06,"Wendy Willis","Other amphibian",NA,"Larvae","More than 50","Pseudacris regilla",2016-10-26 07:26:48,NA,NA,NA,"false","{00000000-0000-0000-0000-000000000000}","pauls",2019-09-23 09:00:00,"pauls",2019-09-23 09:00:00,NA,NA,NA,NA,"SMC","SMC",2016-10-26 07:26:48,"true",NA,NA,"402M00029",34.35798,-119.31172,402,"Ventura","Ventura"
